Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,Season
25/02/17,5fc4529d9280f04a4cadda35,5fc4529d9280f04a4cadda4a,2.0,1.0,H,2.0,1.0,H,5fc451059280f04a4cad63d4,13.0,12.0,4.0,4.0,12.0,5.0,8.0,6.0,2.0,0.0,0.0,0.0,2016-17
26/02/17,5fc4529d9280f04a4cadda49,5fc4529d9280f04a4cadda3c,4.0,0.0,H,4.0,0.0,H,5fc451059280f04a4cad63d0,21.0,5.0,9.0,3.0,11.0,14.0,8.0,5.0,2.0,3.0,0.0,0.0,2016-17
27/02/17,5fc4529d9280f04a4cadda42,5fc4529d9280f04a4cadda4d,3.0,1.0,H,2.0,0.0,H,5fc451059280f04a4cad63cc,13.0,17.0,7.0,7.0,8.0,5.0,5.0,12.0,0.0,0.0,0.0,0.0,2016-17
4/3/17,5fc4529d9280f04a4cadda42,5fc4529d9280f04a4cadda39,3.0,1.0,H,1.0,1.0,D,5fc451059280f04a4cad63da,17.0,10.0,5.0,4.0,12.0,13.0,10.0,4.0,1.0,1.0,0.0,0.0,2016-17
4/3/17,5fc4529d9280f04a4cadda4d,5fc4529d9280f04a4cadda3d,3.0,1.0,H,2.0,0.0,H,5fc451059280f04a4cad63e1,18.0,7.0,7.0,3.0,8.0,15.0,9.0,3.0,1.0,2.0,0.0,0.0,2016-17
4/3/17,5fc4529d9280f04a4cadda41,5fc4529d9280f04a4cadda4a,1.0,1.0,D,1.0,1.0,D,5fc451059280f04a4cad63cf,20.0,3.0,7.0,1.0,9.0,11.0,15.0,2.0,3.0,2.0,0.0,1.0,2016-17
4/3/17,5fc4529d9280f04a4cadda3c,5fc4529d9280f04a4cadda4e,2.0,0.0,H,2.0,0.0,H,5fc451059280f04a4cad63d1,13.0,8.0,8.0,2.0,16.0,20.0,6.0,1.0,1.0,2.0,0.0,0.0,2016-17
4/3/17,5fc4529d9280f04a4cadda43,5fc4529d9280f04a4cadda45,3.0,2.0,H,1.0,1.0,D,5fc451059280f04a4cad63c8,23.0,6.0,10.0,4.0,7.0,13.0,9.0,2.0,2.0,2.0,0.0,0.0,2016-17
4/3/17,5fc4529d9280f04a4cadda48,5fc4529d9280f04a4cadda3b,3.0,4.0,A,1.0,2.0,A,5fc451059280f04a4cad63d0,16.0,20.0,4.0,11.0,16.0,9.0,6.0,5.0,3.0,2.0,0.0,0.0,2016-17
4/3/17,5fc4529d9280f04a4cadda35,5fc4529d9280f04a4cadda47,0.0,2.0,A,0.0,0.0,D,5fc451059280f04a4cad63ca,11.0,10.0,1.0,4.0,8.0,12.0,5.0,5.0,0.0,1.0,0.0,0.0,2016-17
5/3/17,5fc4529d9280f04a4cadda4b,5fc4529d9280f04a4cadda3f,0.0,2.0,A,0.0,1.0,A,5fc451059280f04a4cad63c7,11.0,14.0,3.0,7.0,11.0,4.0,6.0,4.0,1.0,0.0,0.0,0.0,2016-17
5/3/17,5fc4529d9280f04a4cadda49,5fc4529d9280f04a4cadda36,3.0,2.0,H,1.0,0.0,H,5fc451059280f04a4cad63cc,20.0,8.0,7.0,4.0,9.0,14.0,7.0,2.0,1.0,2.0,0.0,0.0,2016-17
6/3/17,5fc4529d9280f04a4cadda38,5fc4529d9280f04a4cadda46,1.0,2.0,A,0.0,1.0,A,5fc451059280f04a4cad63d8,11.0,9.0,2.0,4.0,8.0,8.0,6.0,4.0,0.0,1.0,0.0,0.0,2016-17
8/3/17,5fc4529d9280f04a4cadda3f,5fc4529d9280f04a4cadda3c,0.0,0.0,D,0.0,0.0,D,5fc451059280f04a4cad63c9,12.0,5.0,1.0,2.0,8.0,11.0,8.0,1.0,1.0,3.0,0.0,0.0,2016-17
11/3/17,5fc4529d9280f04a4cadda4a,5fc4529d9280f04a4cadda38,3.0,2.0,H,1.0,1.0,D,5fc451059280f04a4cad63e1,21.0,15.0,9.0,7.0,20.0,15.0,5.0,6.0,4.0,2.0,0.0,0.0,2016-17
11/3/17,5fc4529d9280f04a4cadda36,5fc4529d9280f04a4cadda35,3.0,0.0,H,2.0,0.0,H,5fc451059280f04a4cad63de,16.0,5.0,5.0,2.0,8.0,12.0,4.0,6.0,1.0,2.0,0.0,0.0,2016-17
11/3/17,5fc4529d9280f04a4cadda39,5fc4529d9280f04a4cadda43,2.0,1.0,H,0.0,0.0,D,5fc451059280f04a4cad63d8,15.0,11.0,7.0,3.0,14.0,5.0,2.0,7.0,3.0,1.0,0.0,0.0,2016-17
12/3/17,5fc4529d9280f04a4cadda4d,5fc4529d9280f04a4cadda45,2.0,1.0,H,1.0,1.0,D,5fc451059280f04a4cad63d1,10.0,11.0,3.0,1.0,12.0,16.0,11.0,1.0,2.0,2.0,0.0,0.0,2016-17
18/03/17,5fc4529d9280f04a4cadda4a,5fc4529d9280f04a4cadda43,2.0,0.0,H,1.0,0.0,H,5fc451059280f04a4cad63da,12.0,10.0,6.0,1.0,10.0,9.0,2.0,4.0,0.0,2.0,0.0,0.0,2016-17
18/03/17,5fc4529d9280f04a4cadda47,5fc4529d9280f04a4cadda48,1.0,0.0,H,0.0,0.0,D,5fc451059280f04a4cad63c7,7.0,6.0,0.0,2.0,8.0,15.0,3.0,2.0,0.0,2.0,0.0,0.0,2016-17
18/03/17,5fc4529d9280f04a4cadda36,5fc4529d9280f04a4cadda39,4.0,0.0,H,1.0,0.0,H,5fc451059280f04a4cad63d6,14.0,6.0,8.0,0.0,9.0,7.0,5.0,8.0,2.0,0.0,0.0,1.0,2016-17
18/03/17,5fc4529d9280f04a4cadda3c,5fc4529d9280f04a4cadda46,1.0,2.0,A,1.0,1.0,D,5fc451059280f04a4cad63c8,5.0,20.0,1.0,7.0,16.0,11.0,5.0,11.0,4.0,2.0,1.0,0.0,2016-17
18/03/17,5fc4529d9280f04a4cadda4b,5fc4529d9280f04a4cadda45,0.0,0.0,D,0.0,0.0,D,5fc451059280f04a4cad63e1,14.0,17.0,5.0,3.0,14.0,7.0,3.0,5.0,2.0,1.0,0.0,0.0,2016-17
18/03/17,5fc4529d9280f04a4cadda35,5fc4529d9280f04a4cadda3d,3.0,1.0,H,1.0,1.0,D,5fc451059280f04a4cad63c9,12.0,11.0,8.0,2.0,5.0,6.0,4.0,5.0,1.0,0.0,0.0,0.0,2016-17
